,open,high,low,close,volume,value,ma5,range,target,bull,ror,hpr,dd
2021-05-27 09:00:00,426,427,400,404,788280498.471792,323102323902.93,420.6,13.5,438.5,1,1,4.66350549534073,18.6837308300225
2021-05-28 09:00:00,404,425,367,381,1790998430.02308,701569549124.731,414.8,29,417.5,0,1,4.66350549534073,18.6837308300225
2021-05-29 09:00:00,381,386,344,373,803942154.640836,294092191359.507,416,21,410,0,1,4.66350549534073,18.6837308300225
2021-05-30 09:00:00,374,377,345,366,711293942.662958,258566946997.918,402,16,395,0,1,4.66350549534073,18.6837308300225
2021-05-31 09:00:00,365,389,354,381,849090731.84403,313849152849.789,390,17.5,381,0,1,4.66350549534073,18.6837308300225
2021-06-01 09:00:00,382,456,372,437,2997052441.93262,1231098224285.99,381,42,399.5,1,1.09066733416771,5.08633310647973,11.3110014799168
2021-06-02 09:00:00,437,525,417,492,7387725854.86317,3533039116730.8,387.6,54,479,1,1.02393987473904,5.20809928392989,9.18779796461511
2021-06-03 09:00:00,492,511,444,465,3829579584.01228,1841783908952.07,409.8,33.5,546,1,1,5.20809928392989,9.18779796461511
2021-06-04 09:00:00,464,474,416,437,3222278428.79665,1423769801333.4,428.2,29,497.5,1,1,5.20809928392989,9.18779796461511
2021-06-05 09:00:00,438,454,426,439,1320766450.90962,583145086329.266,442.4,14,467,0,1,5.20809928392989,9.18779796461511
2021-06-06 09:00:00,438,442,427,432,678323423.7983,293470297432.541,454,7.5,452,0,1,5.20809928392989,9.18779796461511
2021-06-07 09:00:00,432,437,382,387,920213713.987937,379494018625.898,453,27.5,439.5,0,1,5.20809928392989,9.18779796461511
2021-06-08 09:00:00,387,399,350,376,1611482593.98424,605668381192.36,432,24.5,414.5,0,1,5.20809928392989,9.18779796461511
2021-06-09 09:00:00,376,409,359,397,1338113641.83965,512205311937.025,414.2,25,400.5,0,1,5.20809928392989,9.18779796461511
2021-06-10 09:00:00,397,401,380,381,608083614.825912,235954028181.303,406.2,10.5,422,0,1,5.20809928392989,9.18779796461511
2021-06-11 09:00:00,381,388,363,373,500772823.533266,187530777606.563,394.6,12.5,391.5,0,1,5.20809928392989,9.18779796461511
2021-06-12 09:00:00,372,374,351,362,385794098.23541,138998052866.066,382.8,11.5,384.5,0,1,5.20809928392989,9.18779796461511
2021-06-13 09:00:00,362,381,357,371,335114350.900867,123093366633.777,377.8,12,373.5,0,1,5.20809928392989,9.18779796461511
2021-06-14 09:00:00,371,390,367,376,672096420.767715,253714082118.538,376.8,11.5,383,0,1,5.20809928392989,9.18779796461511
2021-06-15 09:00:00,377,380,367,369,356766065.786304,133347085237.296,372.6,6.5,388.5,1,1,5.20809928392989,9.18779796461511
2021-06-16 09:00:00,369,375,356,364,412157188.436265,150105672046.413,370.2,9.5,375.5,0,1,5.20809928392989,9.18779796461511
2021-06-17 09:00:00,364,368,358,360,218738281.522918,79341426200.4949,368.4,5,373.5,0,1,5.20809928392989,9.18779796461511
2021-06-18 09:00:00,360,362,337,348,475080865.272351,165912181497.189,368,12.5,365,0,1,5.20809928392989,9.18779796461511
2021-06-19 09:00:00,347,352,338,340,223896125.130791,77023796446.1514,363.4,7,359.5,0,1,5.20809928392989,9.18779796461511
2021-06-20 09:00:00,339,342,304,331,797555963.633459,256973272153.312,356.2,19,346,0,1,5.20809928392989,9.18779796461511
2021-06-21 09:00:00,331,332,208,213,3854747369.07538,1002675008833.64,348.6,62,350,0,1,5.20809928392989,9.18779796461511
2021-06-22 09:00:00,212,255,196,222,10165215414.257,2248941148066.03,318.4,29.5,274,0,1,5.20809928392989,9.18779796461511
2021-06-23 09:00:00,221,287,211,273,7518419952.27983,1918250080188.38,290.8,38,250.5,0,1,5.20809928392989,9.18779796461511
2021-06-24 09:00:00,273,311,259,305,4910726275.46648,1370907308693.63,275.8,26,311,0,1,5.20809928392989,9.18779796461511
2021-06-25 09:00:00,305,337,270,279,7384843317.43343,2236573590462.49,268.8,33.5,331,1,0.839700302114804,4.37324254215982,23.7449665151767
2021-06-26 09:00:00,280,298,272,288,3664183982.528,1036167318661.52,258.4,13,313.5,1,1,4.37324254215982,23.7449665151767
2021-06-27 09:00:00,287,309,278,305,2107399594.98752,607551592916.455,273.4,15.5,300,1,1.01346666666667,4.43213554172757,22.7180653975811
2021-06-28 09:00:00,304,311,290,298,2326997741.08795,693297170419.151,290,10.5,319.5,1,1,4.43213554172757,22.7180653975811
2021-06-29 09:00:00,298,321,294,304,2958334982.06829,905419155980.874,295,13.5,308.5,1,0.982213290113452,4.353302432669,24.0926567478255
2021-06-30 09:00:00,304,306,285,294,1451346961.85708,426600139880.866,294.8,10.5,317.5,1,1,4.353302432669,24.0926567478255
2021-07-01 09:00:00,294,306,278,286,2024317372.14968,592687305251.105,297.8,14,304.5,0,1,4.353302432669,24.0926567478255
2021-07-02 09:00:00,287,293,279,285,751359164.473251,213752542053.705,297.4,7,301,0,1,4.353302432669,24.0926567478255
2021-07-03 09:00:00,285,292,282,286,389132860.26047,111762082653.626,293.4,5,292,0,1,4.353302432669,24.0926567478255
2021-07-04 09:00:00,285,294,284,286,441486031.753198,127353908035.439,291,5,290,0,1,4.353302432669,24.0926567478255
2021-07-05 09:00:00,286,287,265,271,693863850.08536,191616755991.443,287.4,11,291,0,1,4.353302432669,24.0926567478255
2021-07-06 09:00:00,271,281,269,273,469786205.510568,128950967530.783,282.8,6,282,0,1,4.353302432669,24.0926567478255
2021-07-07 09:00:00,274,277,261,264,445388001.012064,120332758200.965,280.2,8,280,0,1,4.353302432669,24.0926567478255
2021-07-08 09:00:00,263,264,242,246,870576698.049805,220281343338.894,276,11,271,0,1,4.353302432669,24.0926567478255
2021-07-09 09:00:00,246,279,231,258,2851744477.24325,734773296830.143,268,24,257,0,1,4.353302432669,24.0926567478255
2021-07-10 09:00:00,258,270,249,253,709468084.886513,183372434321.42,262.4,10.5,282,0,1,4.353302432669,24.0926567478255
2021-07-11 09:00:00,252,257,247,253,315234704.706567,79502545033.0354,258.8,5,262.5,0,1,4.353302432669,24.0926567478255
2021-07-12 09:00:00,254,257,243,246,448694317.756263,112322653323.265,254.8,7,259,0,1,4.353302432669,24.0926567478255
2021-07-13 09:00:00,246,247,235,237,495985443.906642,118861851455.849,251.2,6,253,0,1,4.353302432669,24.0926567478255
2021-07-14 09:00:00,236,242,223,232,911481438.93049,211700717887.505,249.4,9.5,242,0,1,4.353302432669,24.0926567478255
2021-07-15 09:00:00,233,236,215,220,649070386.133796,146468458591.876,244.2,10.5,242.5,0,1,4.353302432669,24.0926567478255
2021-07-16 09:00:00,220,223,203,204,805569754.6585,172058110968.424,237.6,10,230.5,0,1,4.353302432669,24.0926567478255
2021-07-17 09:00:00,205,242,200,221,1957988945.11008,427176544618.992,227.8,21,215,0,1,4.353302432669,24.0926567478255
2021-07-18 09:00:00,221,231,213,215,1322582984.46,293823585099.514,222.8,9,242,0,1,4.353302432669,24.0926567478255
2021-07-19 09:00:00,215,219,203,208,764925677.063714,160428357902.943,218.4,8,224,0,1,4.353302432669,24.0926567478255
2021-07-20 09:00:00,208,213,190,203,1640606248.14715,327691253229.209,213.6,11.5,216,0,1,4.353302432669,24.0926567478255
2021-07-21 09:00:00,202,252,199,225,4115619828.60774,935196043095.947,210.2,26.5,213.5,0,1,4.353302432669,24.0926567478255
